date, pm25, pm10, o3, no2, so2, co,location
2023-11-22, 67, 23, 21, 28, , ,"public-relations department, bangkok"
2023-11-23, 89, 41, 4, 21, , ,"public-relations department, bangkok"
2023-11-24, 82, 29, 24, 24, , ,"public-relations department, bangkok"
2023-11-25, 52, 38, 26, 26, , ,"public-relations department, bangkok"
2023-11-26, 68, 25, 17, 20, , ,"public-relations department, bangkok"
2023-11-27, 48, 40, 26, 30, , ,"public-relations department, bangkok"
2023-11-28, 81, 50, 22, 56, , ,"public-relations department, bangkok"
2023-11-29, 97, 41, 19, , , ,"public-relations department, bangkok"
2023-11-30, 79, 30, 18, 56, , ,"public-relations department, bangkok"
2023-12-01, 59, 22, 14, , , ,"public-relations department, bangkok"
2023-12-02, 42, 25, 20, , , ,"public-relations department, bangkok"
2023-12-03, 43, 24, 16, 24, , ,"public-relations department, bangkok"
2023-12-04, 52, 34, 22, , , ,"public-relations department, bangkok"
2023-12-05, 70, 29, 24, 27, , ,"public-relations department, bangkok"
2023-12-06, 55, 18, 17, 17, , ,"public-relations department, bangkok"
2023-12-07, 33, 26, 24, 27, , ,"public-relations department, bangkok"
2023-12-08, 56, 39, 35, 32, , ,"public-relations department, bangkok"
2023-12-09, 80, 49, 36, 35, , ,"public-relations department, bangkok"
2023-12-10, 106, 38, 28, , , ,"public-relations department, bangkok"
2023-12-11, 77, 43, 22, , , ,"public-relations department, bangkok"
2023-12-12, 92, 36, 16, , , ,"public-relations department, bangkok"
2023-12-13, 77, 30, 17, , , ,"public-relations department, bangkok"
2023-12-14, 64, 43, 21, , , ,"public-relations department, bangkok"
2023-12-15, 86, 40, 21, , , ,"public-relations department, bangkok"
2023-12-16, 77, 35, 16, , , ,"public-relations department, bangkok"
2023-12-17, 63, 29, 21, , , ,"public-relations department, bangkok"
2023-12-18, 55, 37, 20, , , ,"public-relations department, bangkok"
2023-12-19, 65, 37, 25, , , ,"public-relations department, bangkok"
2023-12-20, 67, 25, 23, , , ,"public-relations department, bangkok"
2023-12-21, 43, 30, 24, , , ,"public-relations department, bangkok"
2023-12-22, 50, 42, 24, , , ,"public-relations department, bangkok"
2023-12-23, 65, 41, 18, , , ,"public-relations department, bangkok"
2023-12-24, 69, 46, 23, , , ,"public-relations department, bangkok"
2023-12-25, 83, 49, 22, , , ,"public-relations department, bangkok"
2023-12-26, 91, 43, 27, , , ,"public-relations department, bangkok"
2023-12-27, 83, 40, 26, , , ,"public-relations department, bangkok"
2023-12-28, 78, 41, 25, , , ,"public-relations department, bangkok"
2023-12-29, 75, 42, 28, , , ,"public-relations department, bangkok"
2023-12-30, 91, 36, 26, , , ,"public-relations department, bangkok"
2023-12-31, 77, 30, 20, , , ,"public-relations department, bangkok"
2023-07-01, 36, 9, 13, 6, , ,"public-relations department, bangkok"
